Území;Sudety;% dětí;% dětí v neúplných rodinách;% v produktivním věku;% nad 65;Průměrný věk mužů;Průměrný věk žen;% v manželství;% rozvedených;% ovdovělých;% Pavel Petr – 2. kolo;% Babiš Andrej – 2. kolo;% Volební účast v 2. kole;% bez vzdělání;% se základní školou;% s výučním listem;% s maturitou;% vysokoškoláků + VOŠ;% Čechů;% Moravanů + Slezanů;% Slováků;% Poláků;% Němců;% Romů;% Rusů;% Ukrajinců;% Vietnamců;% cizinců;% neuvedená národnost;% zaměstnaných (15-64);% řídící pracovníci;% specialistů;% technických pracovníků;% úředníků;% ve službách a prodeji;% zemědělci, lesníci a rybáři;% řemeslníků;% obsluha strojů / zařízení;% nekvalifikovaných pracovníků;% v ozbrojených silách;% neznámý sektor práce;% zaměstnanců;% zaměstnavatelů;% podnikatelů bez zaměstnanců;% neznámý pracovní poměr;% žen 15+;Plodnost ženy (odhad);% v církvi;% věřících mimo církve
Aš;1;16.28;35.57;63.87;19.84;41.1;43.9;33.59;13.94;6.76;44.8;55.19;56.92;1.28;20.30;35.88;24.76;6.79;58.04;0.2;2.67;0.23;1.57;0.15;0.18;0.65;1.85;7.29;34.46;73.32;2.10;6.29;7.60;3.76;10.50;0.45;11.37;16.45;5.40;0.02;9.41;46.38;0.64;6.80;19.50;51.01;1.61198581560284;6.83910831112188;7.14199176157015
Benešov;0;17.48;22.85;62.11;20.41;41.3;43.6;39.54;11.48;6.67;62.3;37.69;74.06;0.61;11.22;31.76;34.11;17.48;64.95;0.31;1.17;0.15;0.1;0.03;0.13;0.61;0.22;2.41;32.33;82.33;4.32;14.60;14.20;6.38;11.25;1.19;9.62;8.80;3.17;0.20;8.59;61.31;0.96;13.48;6.58;50.73;1.58081640475278;10.2286401925391;8.5952667468913
Beroun;0;18.98;21.51;63.41;17.61;39.6;41.9;38.63;11.33;6.13;66.88;33.11;73.33;0.47;11.41;29.01;33.47;20.34;64.45;0.35;1.71;0.09;0.15;0.16;0.36;0.96;0.27;3.70;31.5;82.33;4.98;16.57;14.43;7.12;10.40;0.71;8.08;8.16;2.67;0.33;8.89;62.04;0.85;12.78;6.67;50.92;1.49812613770211;6.91671084408317;7.53666725569889
Bílina;1;16.15;38.38;63.99;19.86;40.8;43.5;32.72;13.25;7.45;32.24;67.75;60.68;1.68;20.93;37.55;22.07;6.90;59.19;0.12;1.28;0.03;0.49;0.68;0.17;0.18;0.55;3.38;37.31;69.37;2.26;6.49;9.15;4.06;8.92;0.36;9.39;14.39;4.81;0.12;9.39;56.23;0.52;5.97;6.65;50.90;1.64483906770255;4.05241829377401;5.33656123361928
Bílovec;0;16.27;23.31;63.39;20.35;41.4;44.3;40.92;10.33;7.43;48.23;51.76;70.55;0.77;13.29;35.57;29.50;15.85;61;6.91;1.51;0.11;0.14;0.16;0.04;0.17;0.1;2.21;29.86;76.58;3.41;12.24;12.15;4.37;9.78;0.82;11.85;10.88;3.38;0.27;7.43;61.29;0.98;8.74;5.57;50.92;1.70645681236371;13.1013016411998;9.64103807906864
Blansko;0;17.09;20.4;61.27;21.63;41.6;44.7;41.62;10.77;7.2;58.24;41.75;72.31;0.35;11.33;32.84;32.14;19.46;53.23;23.78;0.98;0.07;0.05;0.04;0.11;0.42;0.12;1.79;21.2;80.85;4.01;15.29;14.27;4.97;9.99;0.89;11.47;9.50;3.11;0.18;7.18;64.57;0.75;9.57;5.96;51.18;1.62950654158428;18.4692001499384;11.4988486871464
Blatná;0;14.68;24.03;60.96;24.35;43.3;46.8;40.84;11.13;8.01;58.58;41.41;70.91;1.05;13.17;36.59;31.18;12.84;61.02;0.15;0.73;0.02;0.05;0.08;0.07;0.33;0.2;1.49;37.35;79.97;3.03;9.76;10.48;4.12;9.47;2.08;14.24;13.56;3.93;0.41;8.89;62.26;0.91;9.60;7.21;50.96;1.66320474777448;10.7004629278288;8.81839568945891
Blovice;0;15.98;20.26;61.54;22.48;42.6;45;41.82;10.96;7.59;51.84;48.15;72.61;0.52;13.37;38.25;28.87;13.41;64.46;0.11;0.66;0.03;0.05;0.07;0.05;0.37;0.23;1.47;33.97;79.31;3.67;10.78;12.74;4.70;10.31;1.32;12.15;11.96;2.84;0.32;8.53;62.26;0.77;10.31;5.97;50.49;1.62587822014052;6.40834575260805;6.71468786222885
Bohumín;0;15.25;25.09;63.91;20.84;42.1;45.2;39.57;12.11;7.74;40.22;59.77;65.5;0.82;15.12;33.21;30.27;14.57;63.43;5.17;2.21;1.88;0.16;0.66;0.03;0.07;0.08;5.09;26.31;74.03;2.89;10.95;11.52;4.88;10.99;0.41;9.68;11.53;3.62;0.18;7.38;60.95;0.75;6.44;5.89;51.16;1.57394940117639;14.2606932153392;9.43645526057031
Boskovice;0;16.59;21.37;62.34;21.07;41.4;44.2;40.22;9.93;7.52;54.51;45.48;72.25;0.55;11.73;36.81;30.53;16.21;52.62;21;0.67;0.06;0.05;0.04;0.05;0.34;0.07;1.28;25.1;77.63;3.44;12.59;11.68;4.29;9.84;1.08;12.00;11.37;3.71;0.23;7.41;62.27;0.74;9.32;5.29;51.03;1.69854088281178;26.3084915240997;10.8917272088118
Brandýs nad Labem-Stará Boleslav;0;21.39;19.19;64.01;14.61;37.8;39.7;39.92;9.84;4.74;72.78;27.21;77.18;0.39;10.84;24.36;33.58;25.97;65.03;0.56;2.28;0.17;0.18;0.06;0.53;1.87;0.18;5.27;29.14;83.28;6.41;19.34;16.11;7.44;9.00;0.54;6.60;6.48;2.36;0.37;8.62;61.74;0.73;14.16;6.65;50.81;1.46956222925691;8.45956130062636;8.14846238947255
Brno;0;15.14;28.69;65.21;19.65;40.1;43.5;34.41;11.97;6.07;68.24;31.75;67.85;0.39;9.30;19.99;31.68;33.66;53.3;21.38;2.56;0.18;0.15;0.26;0.47;1.19;0.44;5.25;20.07;81.52;4.50;24.85;14.60;6.29;9.55;0.27;5.66;5.24;2.73;0.24;7.59;61.28;0.61;11.06;8.57;51.61;1.27013878542696;16.2648365160222;11.9944292489523
Broumov;1;15.15;29.18;61.02;23.83;43;46.1;37.18;13.42;7.47;48.64;51.35;64.98;1.10;16.56;41.07;25.41;8.12;60.46;0.29;1.39;0.37;0.45;0.62;0.05;0.11;0.06;3.05;36.2;75.03;3.00;8.10;8.36;4.04;10.83;1.34;10.93;14.35;3.97;0.07;10.04;58.88;0.78;9.30;6.07;50.65;1.76439912826899;7.56004549407908;7.34595571017596
Bruntál;1;15.35;33.28;63.07;21.59;42.1;45.2;34.91;13.36;7.35;38.15;61.84;63.33;1.13;16.80;37.48;26.49;10.73;55.93;8.28;1.98;0.18;0.22;0.37;0.02;0.15;0.06;3.00;32.81;73.16;2.87;8.57;10.04;3.76;10.07;1.45;9.64;13.02;4.53;0.27;8.97;55.49;1.23;9.35;7.09;51.07;1.7463474025974;8.38060705304404;8.82507748991169
Břeclav;0;15.04;23.49;63.27;21.68;42.2;45.5;40.31;11.43;7.58;52.51;47.48;68.95;0.53;15.60;34.12;29.96;14.42;53.22;22.38;2.08;0.05;0.05;0.18;0.05;0.26;0.22;2.90;21.51;77.96;3.42;11.05;11.44;5.50;11.66;1.86;10.07;10.82;4.21;0.19;7.74;58.73;1.19;9.38;8.66;51.35;1.61515896297471;18.6575811556355;11.1724114076201
Bučovice;0;16.05;18.38;63.73;20.22;41.6;44.1;41.17;9.81;7.09;49.74;50.25;69.17;0.49;14.64;37.44;28.41;13.86;48.13;25.99;1.22;0.01;0.06;0.06;0.06;0.28;0.06;1.76;24.13;78.08;3.14;10.66;11.39;4.31;9.17;0.68;12.31;12.66;4.53;1.00;8.22;61.33;0.89;10.38;5.48;49.94;1.71788715486194;17.0608958228485;9.91444388525415
Bystřice nad Pernštejnem;0;15.24;19.68;62.02;22.73;42.6;45.6;43.53;8.79;8.04;53.44;46.55;73.03;0.41;13.50;40.91;27.64;13.26;55.41;15.74;0.58;0.03;0.05;0.03;0.03;0.33;0.02;1.07;27.78;75.87;2.99;9.07;9.84;3.10;9.14;1.97;13.98;14.20;3.79;0.22;7.56;59.98;0.79;10.32;4.77;50.23;1.83217131474104;30.1335736245097;8.75649316230255
Bystřice pod Hostýnem;0;14.77;23.59;62.18;23.05;42.8;46.5;41.14;10.95;7.93;51.52;48.47;69.25;0.88;11.57;38.11;30.04;14.77;55.35;17.3;0.74;0.12;0.09;0.12;0.06;0.18;0.01;1.33;26.03;77.27;3.32;11.77;10.84;3.51;11.26;1.22;12.82;10.32;3.88;0.66;7.66;59.41;1.07;10.55;6.24;51.18;1.68436323713927;23.1953472459802;12.1450564488539
Čáslav;0;16.7;22.33;62.1;21.20;41.6;44.6;40.3;11.08;7.94;51.35;48.64;71.09;0.52;11.81;35.07;32.42;14.59;63.75;0.42;1.2;0.06;0.05;0.12;0.06;0.6;0.39;2.47;33.35;77.66;3.03;11.70;12.28;4.96;10.61;1.27;9.64;9.45;3.72;2.51;8.50;59.06;0.89;9.56;8.16;50.92;1.64779466271312;9.46392076717497;7.03505738091495
Černošice;0;20.58;21.17;63.44;15.97;38.8;40.4;39.93;9.96;4.79;75.93;24.06;77.34;0.38;10.38;22.06;32.79;29.95;66.2;0.5;2.1;0.14;0.25;0.06;0.81;1.13;0.42;4.92;28.39;83.19;7.18;21.35;16.04;6.80;9.57;0.57;5.99;4.86;2.23;0.23;8.36;59.10;0.86;15.88;7.35;51.14;1.45184045340971;9.3289932113396;8.77822677962536
Česká Lípa;1;16.48;29.59;64.23;19.29;40.6;43.4;34.83;14.08;6.5;47.06;52.93;63.58;0.99;15.90;37.67;27.36;10.34;59.75;0.3;1.31;0.16;0.25;0.33;0.17;0.51;0.32;3.05;36.9;76.66;2.56;8.82;9.71;4.79;9.26;0.66;10.61;15.59;4.72;0.19;9.77;61.87;0.73;7.82;6.23;50.26;1.66321514651782;4.71252279716184;5.55651699303771
Česká Třebová;0;15.24;26.61;62.5;22.26;42.4;45.3;38.78;12.53;7.45;54.54;45.45;72.62;0.71;14.07;33.70;33.75;12.78;64.03;0.75;0.88;0.23;0.07;0.41;0.03;0.21;0.18;2.02;33.21;79.94;3.35;11.58;12.53;6.39;10.55;0.50;10.61;12.56;3.69;0.16;8.03;66.15;0.86;7.47;5.46;51.19;1.65755242898859;8.47203824223924;7.37199792662558
České Budějovice;0;16.61;25.29;63.73;19.66;40.8;43.4;38.63;11.99;6.39;64.06;35.93;71.58;0.45;10.85;27.25;32.81;23.40;66.9;0.38;1.03;0.07;0.16;0.23;0.2;0.88;0.23;2.80;29.92;81.82;4.25;16.44;15.05;5.80;10.64;0.62;8.56;8.34;3.24;0.31;8.56;62.87;0.77;10.75;7.43;51.57;1.45907458211952;12.0352690787473;10.6439647309213
Český Brod;0;19.14;21.42;63.34;17.52;39.6;41.4;38.25;10.87;6.09;66.32;33.67;72.21;0.74;13.48;30.54;31.76;17.99;62.86;0.43;1.71;0.12;0.11;0.04;0.16;0.99;0.22;3.37;33.36;80.86;4.62;14.86;13.82;7.13;10.51;1.03;9.08;7.86;3.01;0.16;8.75;60.50;0.83;13.30;6.22;50.61;1.53102826217679;7.84033861600551;6.82645929717492
Český Krumlov;1;16.75;25.65;63.19;20.06;41.5;43.5;38.17;12.18;6.61;59.04;40.95;68.71;0.74;16.06;34.65;28.06;13.48;62.17;0.34;1.68;0.12;0.45;0.39;0.1;0.41;0.8;3.93;33.54;76.66;3.41;9.86;10.09;4.42;12.43;1.26;10.90;9.94;4.76;0.20;9.39;53.82;0.95;10.71;11.17;50.41;1.65625186155954;10.4625;9.55
