"idhod","hodnota","ukaz_kod","vek_cis","vek_kod","uzemi_cis","uzemi_kod","sldb_rok","sldb_datum","ukaz_txt","vek_txt","uzemi_txt"
"947108883","1817","3162",,,"43","500011","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Želechovice nad Dřevnicí"
"947149795","240","3162","1035","1100000014","43","500011","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Želechovice nad Dřevnicí"
"947091150","1158","3162","1035","1300150064","43","500011","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Želechovice nad Dřevnicí"
"947138048","419","3162","1035","1200659999","43","500011","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Želechovice nad Dřevnicí"
"947108884","1195","3162",,,"43","500020","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Petrov nad Desnou"
"947066761","179","3162","1035","1100000014","43","500020","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Petrov nad Desnou"
"947114618","732","3162","1035","1300150064","43","500020","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Petrov nad Desnou"
"947149796","284","3162","1035","1200659999","43","500020","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Petrov nad Desnou"
"947073634","1699","3162",,,"43","500046","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Libhošť"
"947114619","307","3162","1035","1100000014","43","500046","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Libhošť"
"947126320","1040","3162","1035","1300150064","43","500046","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Libhošť"
"947149797","352","3162","1035","1200659999","43","500046","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Libhošť"
"947120531","2020","3162",,,"43","500062","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Krhová"
"947091285","341","3162","1035","1100000014","43","500062","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Krhová"
"947066923","1281","3162","1035","1300150064","43","500062","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Krhová"
"947114751","398","3162","1035","1200659999","43","500062","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Krhová"
"947085426","1716","3162",,,"43","500071","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Poličná"
"947126473","263","3162","1035","1100000014","43","500071","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Poličná"
"947103018","1096","3162","1035","1300150064","43","500071","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Poličná"
"947149960","357","3162","1035","1200659999","43","500071","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Poličná"
"947072041","212","3162",,,"43","500101","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Bražec"
"947126474","41","3162","1035","1100000014","43","500101","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Bražec"
"947149961","142","3162","1035","1300150064","43","500101","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Bražec"
"947091286","29","3162","1035","1200659999","43","500101","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Bražec"
"947144007","147","3162",,,"43","500127","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Doupovské Hradiště"
"947103019","29","3162","1035","1100000014","43","500127","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Doupovské Hradiště"
"947114752","94","3162","1035","1300150064","43","500127","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Doupovské Hradiště"
"947149962","24","3162","1035","1200659999","43","500127","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Doupovské Hradiště"
"947120532","220","3162",,,"43","500135","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Kozlov"
